iter	Passed	Remaining
1628	7417	60882
1629	7422	60882
1630	7426	60876
1631	7431	60869
1632	7436	60867
1633	7442	60875
1634	7446	60873
1635	7452	60874
1636	7458	60884
1637	7463	60887
1638	7468	60879
1639	7474	60890
1640	7478	60884
1641	7483	60880
1642	7490	60892
1643	7494	60888
1644	7499	60886
1645	7506	60897
1646	7510	60888
1647	7514	60882
1648	7519	60884
1649	7525	60884
1650	7529	60877
1651	7533	60869
1652	7539	60876
1653	7543	60868
1654	7547	60859
1655	7552	60860
1656	7558	60866
1657	7564	60869
1658	7570	60882
1659	7575	60879
1660	7580	60873
1661	7585	60879
1662	7590	60871
1663	7594	60864
1664	7598	60857
1665	7603	60858
1666	7608	60850
1667	7612	60842
1668	7616	60835
1669	7622	60842
1670	7626	60836
1671	7631	60831
1672	7636	60828
1673	7640	60820
1674	7644	60812
1675	7648	60807
1676	7653	60806
1677	7658	60801
1678	7662	60796
1679	7667	60796
1680	7672	60794
1681	7677	60789
1682	7682	60786
